"Natural Language Query","SQL Query"
"Get all sites","SELECT * FROM Site;"
"List all levels in a facility","SELECT * FROM Level WHERE FacilityId = '12345';"
"Get the timestamp and value of all Temperature measurements for a specific unit","SELECT timestamp, value FROM IAQ WHERE measurement = 'temp';"
"Get the timestamp and value of all Carbon Dioxide measurements for a specific unit","SELECT timestamp, value FROM IAQ WHERE measurement = 'CO2';"
"List all SpaceIds in a specific zone","SELECT SpaceId FROM Space WHERE Zone = 'some_zone';"
"Find all unique SpaceTypes","SELECT DISTINCT SpaceType FROM Space;"
"List all facilities with a specific SourceSystemId","SELECT * FROM Facility WHERE SourceSystemId = 'some_source_system_id';"
"Get the coordinates of all spaces in a facility","SELECT SpaceId, CoOrdinates FROM Space WHERE FacilityId = 'some_facility_id';"
"List all space descriptions in a facility","SELECT SpaceDescription FROM Space WHERE FacilityId = 'some_facility_id';"
"Find the time difference for a specific facility","SELECT TimeDiff FROM Facility WHERE FacilityId = 'some_facility_id';"
"List the capacities of all levels in descending order","SELECT Capacity FROM Level ORDER BY Capacity DESC;"
"Get the maximum capacity of all spaces in a facility","SELECT MAX(Capacity) FROM Space WHERE FacilityId = 'some_facility_id';"
"List all facilities that operate in a specific time zone","SELECT * FROM Facility WHERE TimeZone = 'some_time_zone';"
"Find the average value of all IAQ measurements in a facility","SELECT AVG(value) FROM IAQ WHERE FacilityId = 'some_facility_id';"
"List all unique units in IAQ measurements","SELECT DISTINCT unit FROM IAQ;"
"Count the number of spaces in a facility","SELECT COUNT(*) FROM Space WHERE FacilityId = 'some_facility_id';"
"List all facilities that have a specific environmental variable","SELECT * FROM Facility WHERE EnvVariables LIKE '%some_variable%';"
"Get all spaces with a capacity greater than 50","SELECT * FROM Space WHERE Capacity > 50;"
"List all levels in a facility sorted by capacity in ascending order","SELECT * FROM Level WHERE FacilityId = 'some_facility_id' ORDER BY Capacity ASC;"
"Count the number of IAQ measurements from a specific vendor","SELECT COUNT(*) FROM IAQ WHERE vendor = 'some_vendor';"
"List all facilities where the working hours start after 9 AM","SELECT * FROM Facility WHERE WorkingHoursFrom > 9;"
"Find the minimum social distance requirement for all facilities","SELECT MIN(MinSocialDistance) FROM Facility;"
"List all spaces that have a specific geometry type","SELECT * FROM Space WHERE GeometryType = 'some_geometry_type';"
"Find the LonLat for a specific facility","SELECT LonLat FROM Facility WHERE FacilityId = 'some_facility_id';"
"Get all facilities that have a specific address","SELECT * FROM Facility WHERE Address = 'some_address';"
"Find the total number of levels in a specific facility","SELECT COUNT(*) FROM Level WHERE FacilityId = 'some_facility_id';"
"List all spaces in a specific facility and level","SELECT * FROM Space WHERE FacilityId = 'some_facility_id' AND LevelId = 'some_level_id';"
"Get the SpaceName for a given SpaceId","SELECT SpaceName FROM Space WHERE SpaceId = 'some_space_id';"
"List all spaces with a maximum capacity less than 100","SELECT * FROM Space WHERE MaxCapacity < 100;"
"Get the highest value of IAQ measurements in a facility","SELECT MAX(value) FROM IAQ WHERE FacilityId = 'some_facility_id';"
"Find the average capacity of all levels in a facility","SELECT AVG(Capacity) FROM Level WHERE FacilityId = 'some_facility_id';"
"List all levels that have a SourceSystemId matching a specific value","SELECT * FROM Level WHERE SourceSystemId = 'some_source_system_id';"
"Count the number of unique vendors in IAQ measurements","SELECT COUNT(DISTINCT vendor) FROM IAQ;"
"List all zones in a facility","SELECT DISTINCT Zone FROM Space WHERE FacilityId = 'some_facility_id';"
"Get the time zone of a specific site","SELECT TimeZone FROM Facility WHERE SiteId = 'some_site_id';"
"Find all levels with a capacity less than 50","SELECT * FROM Level WHERE Capacity < 50;"
"Count the number of spaces in each level of a facility","SELECT LevelId, COUNT(*) FROM Space WHERE FacilityId = 'some_facility_id' GROUP BY LevelId;"
"List all the environmental route variables for a facility","SELECT EnvIRouteVariables FROM Facility WHERE FacilityId = 'some_facility_id';"
"Find the SpaceType of a specific space","SELECT SpaceType FROM Space WHERE SpaceId = 'some_space_id';"
"List all unique time zones across all facilities","SELECT DISTINCT TimeZone FROM Facility;"
"Get the IAQ measurements of a specific space sorted by timestamp in ascending order","SELECT * FROM IAQ WHERE SpaceId = 'some_space_id' ORDER BY timestamp ASC;"
"Find all spaces that have the same capacity as a given space","SELECT * FROM Space WHERE Capacity = (SELECT Capacity FROM Space WHERE SpaceId = 'some_space_id');"
"List the total number of facilities in a specific site","SELECT COUNT(*) FROM Facility WHERE SiteId = 'some_site_id';"
"Find the average value of IAQ measurements for a specific unit in a facility","SELECT AVG(value) FROM IAQ WHERE unit = 'some_unit' AND FacilityId = 'some_facility_id';"
"List all facilities that have a specific vendor","SELECT * FROM Facility WHERE Vendors LIKE '%some_vendor%';"
"Get the number of spaces with each SpaceType in a facility","SELECT SpaceType, COUNT(*) FROM Space WHERE FacilityId = 'some_facility_id' GROUP BY SpaceType;"
"Find the latest IAQ measurement for a specific space","SELECT * FROM IAQ WHERE SpaceId = 'some_space_id' ORDER BY timestamp DESC LIMIT 1;"
"Count the number of levels that have a specific SourceSystemId","SELECT COUNT(*) FROM Level WHERE SourceSystemId = 'some_source_system_id';"
"List all facilities that have a minimum social distance requirement greater than 2","SELECT * FROM Facility WHERE MinSocialDistance > 2;"
"Get the oldest IAQ measurement for a specific space","SELECT * FROM IAQ WHERE SpaceId = 'some_space_id' ORDER BY timestamp ASC LIMIT 1;"
"List the number of spaces in each zone of a facility","SELECT Zone, COUNT(*) FROM Space WHERE FacilityId = 'some_facility_id' GROUP BY Zone;"
"Find all spaces that are either squares or circles in geometry type","SELECT * FROM Space WHERE GeometryType IN ('Square', 'Circle');"
"Count the number of facilities that start working before 8 AM","SELECT COUNT(*) FROM Facility WHERE WorkingHoursFrom < 8;"
